slug;source;freq;position;channel;priority_group;priority_label;segment_orig;federal_count;regional_count;yandex_count;top10_domains;city_from;city_to;price
kazan-leninogorsk;old;42076;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;5;0;vezet.ru|kazan1.taximaxim.ru|taxi.yandex.ru|yandex.ru|m.avito.ru|2gis.ru|116.ru|kazan.taptaxi.su|taxiomega.ru|kazan.taxipoehali.ru;Казань;Лениногорск;8700
kazan-elabuga;old;42076;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD;1;3;0;taxi.yandex.ru|kazan1.taximaxim.ru|vezet.ru|m.avito.ru|yandex.ru|2gis.ru|116.ru|city-mobil.ru|kazan.taxipoehali.ru|zoon.ru;Казань;Елабуга;6300
ekaterinburg-sibaj;old;40889;;DIRECT;G_DIRECT_ONLY;Только Директ;DIRECT_ONLY;1;3;0;taxi.yandex.ru|yekaterinburg.taximaxim.ru|2gis.ru|yandex.ru|www.3101010.ru|vezet.ru|66.ru|www.avito.ru|taxiomega.ru|uslugi.yandex.ru;Екатеринбург;Сибай;17700
ekaterinburg-irbit;old;40889;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD;1;3;0;taxi.yandex.ru|yekaterinburg.taximaxim.ru|2gis.ru|yandex.ru|www.3101010.ru|vezet.ru|66.ru|www.avito.ru|taxiomega.ru|uslugi.yandex.ru;Екатеринбург;Ирбит;6200
cheljabinsk-magnitogorsk;old;28072;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD;0;3;0;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|www.222-2-222.ru|driver174.ru;Челябинск;Магнитогорск;9300
cheljabinsk-uchaly;old;28072;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD;0;3;0;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|www.222-2-222.ru|driver174.ru;Челябинск;село Учалы;6300
cheljabinsk-sibaj;old;28072;;DIRECT;G_DIRECT_ONLY;Только Директ;DIRECT_ONLY;0;3;0;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|www.222-2-222.ru|driver174.ru;Челябинск;Сибай;11400
cheljabinsk-beloreck;old;28072;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD;1;3;0;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|www.222-2-222.ru|www.avito.ru;Челябинск;Белорецк;8600
cheljabinsk-kurgan;old;28072;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD;0;3;0;taxi.yandex.ru|chelyabinsk.taximaxim.ru|2gis.ru|yandex.ru|vezet.ru|chelyabinsk.taxipoehali.ru|city-mobil.ru|chelyabinsk.flamp.ru|driver174.ru|www.222-2-222.ru;Челябинск;Курган;8100
rostov-rostov-velikij;old;19134;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;13;0;taxi.yandex.ru|rostov-na-donu1.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|kubtaxi.ru|www.avito.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|catalogtaksi.ru|taksi-gorod.ru|xn-----6kckdgfipty1aaca1adgndr.xn--p1ai|www.yell.ru|www.2306306.com|www.komandirovka.ru|vk.com|tourism.rostov-gorod.ru|perevozka24.com|go.yandex|taxiizrostova.ru|161.ru|redtaxi.ru|rutaxi.ru|rostov-na-donu.sky-transfer.ru|taxi.transferplustravel.com|taxieconom.ru|alex-transport.ru|taxi-leader.ru|555don.ru;Ростов-на-Дону;Ростов;39000
